Agency,EffortID,SampleDate,SampleYear,WFMU,Site,GearType,MonitoringType,Species,SampleID,Length_mm,Weight_g,Sex,Maturity,FinalAge,FinalAgeStructure,SampleType1,SampleType1ID,Comment,BoxNo
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-36,501,1329,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-49,473,1046,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-54,520,1189,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-55,547,1437,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-56,467,929,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-57,482,1129,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-59,535,1205,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-61,512,976,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-66,488,1201,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-70,563,1441,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-72,495,1229,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-75,501,1242,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-78,482,1067,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-79,490,1189,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-82,466,849,U,U,6,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-03,503,1218,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-06,505,1178,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-10,456,881,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-11,495,1040,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-12,482,1020,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-17,485,958,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-19,515,1289,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-20,504,1146,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-21,501,1074,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-23,510,1238,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-24,492,1264,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-27,457,813,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-30,467,906,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-31,507,1229,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-32,565,1631,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-33,515,1301,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-37,526,1344,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-38,465,965,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-40,510,1277,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-42,506,1190,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-43,501,1007,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-48,570,1663,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-52,490,933,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-53,516,1119,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-58,511,1242,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-63,476,955,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-67,475,1012,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-71,522,1222,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-73,536,1285,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-76,476,1007,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-77,504,1071,U,U,5,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-01,433,730,U,U,4,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-02,416,788,U,U,4,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-08,461,859,U,U,4,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-44,512,1196,U,U,4,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-64,457,822,U,U,4,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-65,455,876,U,U,4,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-69,470,960,U,U,4,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-81,454,885,U,U,4,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-39,439,751,U,U,3,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-41,387,516,U,U,3,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-46,410,625,U,U,3,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-47,456,905,U,U,3,,,,,1
MIDNR,5002,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5002-60,424,646,U,U,2,,,,,1
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-21,587,1723,U,U,7,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-34,530,1407,U,U,7,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-39,537,1475,U,U,7,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-45,494,1076,U,U,7,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-46,558,1635,U,U,7,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-78,573,1752,U,U,7,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-05,500,1215,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-06,506,1247,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-07,505,1055,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-08,572,1722,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-09,526,1252,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-10,532,1396,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-12,554,1528,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-15,570,1740,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-16,470,819,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-17,506,1098,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-18,515,1140,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-19,502,978,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-23,494,919,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-28,516,1278,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-29,483,955,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-33,486,993,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-37,480,951,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-40,541,1442,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-51,471,1077,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-53,480,1076,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-54,489,957,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-55,496,903,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-61,488,1128,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-64,560,1660,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-72,522,1282,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-74,516,1118,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-77,498,1179,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-80,522,1349,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-81,562,1437,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-83,523,1363,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-85,519,1354,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-86,530,1346,U,U,6,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-01,536,1162,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-02,490,952,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-04,444,824,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-11,453,876,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-20,504,1150,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-24,472,973,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-25,506,1095,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-26,498,1016,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-27,476,985,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-35,454,815,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-36,486,1029,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-41,547,1614,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-42,484,1054,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-43,532,1371,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-48,506,1139,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-49,523,1230,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-50,454,1000,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-52,511,1233,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-57,510,1200,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-58,493,1118,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-59,519,1381,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-66,488,1136,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-67,519,1228,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-68,447,758,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-69,500,1160,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-70,553,1479,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-71,541,1452,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-73,536,1251,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-76,494,930,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-82,445,796,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-89,479,1026,U,U,5,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-03,466,943,U,U,4,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-13,434,829,U,U,4,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-14,428,642,U,U,4,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-31,445,798,U,U,4,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-32,430,709,U,U,4,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-44,426,743,U,U,4,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-56,491,1105,U,U,4,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-60,450,824,U,U,4,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-62,425,713,U,U,4,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-63,417,732,U,U,4,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-65,457,852,U,U,4,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-75,434,751,U,U,4,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-79,495,1054,U,U,4,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-87,419,639,U,U,4,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-88,455,889,U,U,4,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-90,430,665,U,U,4,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-22,435,869,U,U,3,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-30,406,629,U,U,3,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-38,406,615,U,U,3,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-47,409,695,U,U,3,,,,,2
MIDNR,5003,5/30/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5003-84,395,521,U,U,3,,,,,2
MIDNR,5008,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5008-02,534,1394,F,M,9,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-14,599,1516,F,M,8,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-15,571,1760,M,M,8,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-25,626,2231,M,M,8,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-34,566,1517,M,M,8,,,,,3
MIDNR,5008,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5008-36,620,2086,F,M,8,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-03,561,1479,F,M,7,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-13,546,1543,F,M,7,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-22,552,1402,F,M,7,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-31,599,1732,F,M,7,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-37,539,1322,M,M,7,,,,,3
MIDNR,5008,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5008-05,532,1311,M,M,7,,,,,3
MIDNR,5008,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5008-13,466,1091,F,M,7,,,,,3
MIDNR,5008,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5008-19,562,1578,F,M,7,,,,,3
MIDNR,5008,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5008-20,563,1705,F,M,7,,,,,3
MIDNR,5008,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5008-22,496,1177,M,M,7,,,,,3
MIDNR,5008,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5008-23,537,1555,M,M,7,,,,,3
MIDNR,5008,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5008-24,532,1349,M,M,7,,,,,3
MIDNR,5008,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5008-31,549,1402,F,M,7,,,,,3
MIDNR,5008,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5008-32,537,1457,M,M,7,,,,,3
MIDNR,5008,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5008-33,591,2125,M,M,7,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-02,436,833,F,M,6,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-08,542,1509,F,M,6,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-10,511,1146,M,M,6,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-12,557,1673,F,M,6,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-16,539,1379,F,M,6,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-21,504,1177,M,M,6,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-24,470,875,M,M,6,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-27,535,1211,M,M,6,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-30,630,1883,M,M,6,,,,,3
MIDNR,5007,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5007-33,475,909,M,M,6,,,,,3
MIDNR,5008,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5008-03,491,1000,F,M,6,,,,,3
MIDNR,5008,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5008-09,551,1599,F,M,6,,,,,3
MIDNR,5008,6/13/2002,2002,WFM06,Leland,large mesh trap net,Commercial,LWF,5008-10,552,1355,F,M,6,,,,,3
